Index,category,sub_category,brand,sale_price,market_price
7327,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,54,72
7328,Snacks & Branded Foods,Snacks & Namkeen,Rusingo,120,120
7329,"Foodgrains, Oil & Masala",Dals & Pulses,Mdh,45,45
7330,"Foodgrains, Oil & Masala",Masalas & Spices,Eastern,77.42,81.5
7331,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,79.8,84
7332,Beverages,Fruit Juices & Drinks,Nescafe ,115,140
7333,Beauty & Hygiene,Fragrances & Deos,United Colors Of Benetton ,214.53,390
7334,Cleaning & Household,Stationery,B2B,230,230
7335,Snacks & Branded Foods,Snacks & Namkeen,Too Yumm!,53.54,70
7336,Gourmet & World Food,"Pasta, Soup & Noodles",Barilla,249,249
7337,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,440,500
7338,"Kitchen, Garden & Pets",Crockery & Cutlery,Soogo,299,395
7339,Cleaning & Household,Pooja Needs,Shubhkart,79,80
7340,Beauty & Hygiene,Hair Care,NaturoBell,100,100
7341,Cleaning & Household,"Mops, Brushes & Scrubs",Liao,169,239
7342,Beauty & Hygiene,Men's Grooming,The Man Company,323,449
7343,Gourmet & World Food,Drinks & Beverages,Again,50,50
7344,Beverages,Tea,VAHDAM,419.3,599
7345,Gourmet & World Food,Cereals & Breakfast,Nutriorg,256.5,270
7346,Gourmet & World Food,Cooking & Baking Needs,Nutriorg,565.25,595
7347,Cleaning & Household,"Disposables, Garbage Bag",Dettol,245.7,288
7348,Snacks & Branded Foods,Snacks & Namkeen,Saffola,175,195
7349,"Foodgrains, Oil & Masala",Masalas & Spices,Kohinoor,99,99
7350,Gourmet & World Food,"Sauces, Spreads & Dips",Prasukh,126,140
7351,Gourmet & World Food,"Sauces, Spreads & Dips",Habanero,183.2,229
7352,"Kitchen, Garden & Pets",Appliances & Electricals,Eveready,415,425
7353,Beauty & Hygiene,Hair Care,Nisargalaya,226,226
7354,Beauty & Hygiene,Fragrances & Deos,Nivea,278.59,398
7355,Beauty & Hygiene,Skin Care,Khadi Natural,308.75,325
7356,Beauty & Hygiene,Fragrances & Deos,Rasasi,284.05,299
7357,"Kitchen, Garden & Pets",Crockery & Cutlery,Treo,290,290
7358,Gourmet & World Food,Cereals & Breakfast,Nutriorg,380,400
7359,Gourmet & World Food,Cooking & Baking Needs,GoodDiet,190,385
7360,Cleaning & Household,Stationery,Hm International,160,199
7361,Beauty & Hygiene,Bath & Hand Wash,INATUR ,200,200
7362,Cleaning & Household,Fresheners & Repellents,Renew Air,609,669
7363,"Kitchen, Garden & Pets",Storage & Accessories,Milton,329,385
7364,Beauty & Hygiene,Skin Care,Plum,403.75,475
7365,Fruits & Vegetables,Herbs & Seasonings,Fresho,14,17.5
7366,Beauty & Hygiene,Health & Medicine,Seni,2850,2850
7367,Beauty & Hygiene,Skin Care,Himalaya,66,75
7368,Cleaning & Household,All Purpose Cleaners,Frosch,329,329
7369,Beauty & Hygiene,Skin Care,Loreal Paris,132.94,190
7370,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,335,475
7371,Snacks & Branded Foods,Snacks & Namkeen,Haldirams ,50,50
7372,Snacks & Branded Foods,Snacks & Namkeen,Bagrrys,200,200
7373,"Kitchen, Garden & Pets",Kitchen Accessories,Fackelmann,275,299
7374,Beauty & Hygiene,Feminine Hygiene,STAYFREE,175,175
7375,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,75.65,89
7376,"Foodgrains, Oil & Masala",Masalas & Spices,Kpl Shudhi,80,80
7377,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Saffola,592,600
7378,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,325,325
7379,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",bb Royal,359.4,585
7380,Beauty & Hygiene,Fragrances & Deos,Nike,853.1,898
7381,Beauty & Hygiene,Skin Care,BIOTIQUE,120,120
7382,"Kitchen, Garden & Pets",Steel Utensils,Joyo Steel,199,280
7383,Snacks & Branded Foods,Ready To Cook & Eat,Mothers Recipe,70,70
7384,Beauty & Hygiene,Health & Medicine,Dettol,639.2,799
7385,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",bb Royal,280,280
7386,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,109,109
7387,Snacks & Branded Foods,Ready To Cook & Eat,Eagle,42,42
7388,Beauty & Hygiene,Bath & Hand Wash,Organic Harvest,84.15,99
7389,Beauty & Hygiene,Skin Care,Soulflower,378,450
7390,"Kitchen, Garden & Pets",Pet Food & Accessories,IAMS,885,1180
7391,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",24 Mantra,150,150
7392,"Kitchen, Garden & Pets",Pet Food & Accessories,Wiggles.in,230,230
7393,"Kitchen, Garden & Pets",Pet Food & Accessories,bb Combo,1337.9,1574
7394,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,60,60
7395,Gourmet & World Food,"Pasta, Soup & Noodles",Agnesi,250,250
7396,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,92.65,109
7397,Beauty & Hygiene,Hair Care,SSCPL HERBALS,210,210
7398,"Foodgrains, Oil & Masala",Dry Fruits,Nature's Treat,120,120
7399,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,295,295
7400,Beauty & Hygiene,Feminine Hygiene,Plush,120,120
7401,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,149,149
7402,"Foodgrains, Oil & Masala",Masalas & Spices,Valley Spice,75,75
7403,"Bakery, Cakes & Dairy",Dairy,Amul,225,250
7404,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,280,280
7405,Gourmet & World Food,Drinks & Beverages,FOCO,95,95
7406,Beauty & Hygiene,Skin Care,BIOTIQUE,599,999
7407,Beauty & Hygiene,Hair Care,Khadi Natural,160,160
7408,Gourmet & World Food,Cooking & Baking Needs,Nutty Yogi,360,360
7409,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Sundrop,200,200
7410,"Kitchen, Garden & Pets",Storage & Accessories,Iveo ,239,295
7411,"Kitchen, Garden & Pets",Pet Food & Accessories,Royal Canin,3060,3060
7412,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,54,80
7413,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Cornitos,153,170
7414,Beauty & Hygiene,Skin Care,INATUR ,875,1250
7415,"Kitchen, Garden & Pets",Storage & Accessories,Yellow Spark,359,449
7416,Gourmet & World Food,Drinks & Beverages,Chaayos,299,299
7417,Snacks & Branded Foods,Snacks & Namkeen,RiteBite Max Protein,120,120
7418,Gourmet & World Food,Chocolates & Biscuits,Lindberg,339.15,567
7419,Beverages,Tea,Wagh Bakri,310,310
7420,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",On The Run,300,300
7421,Snacks & Branded Foods,Frozen Veggies & Snacks,Yummiez,265,290
7422,Beauty & Hygiene,Health & Medicine,Aerostar,349,400
7423,Beauty & Hygiene,Skin Care,Lotus Herbals,112,140
7424,Beauty & Hygiene,Skin Care,The Moms Co,699,699
7425,Beauty & Hygiene,Health & Medicine,Kerala Ayurveda,225,225
7426,Beauty & Hygiene,Oral Care,Spraymintt,69.3,99
7427,"Kitchen, Garden & Pets",Crockery & Cutlery,Yujing,279,399
7428,"Kitchen, Garden & Pets",Storage & Accessories,Princeware,89,139
7429,"Bakery, Cakes & Dairy",Dairy,Raw Pressery,195,270
7430,"Foodgrains, Oil & Masala",Dry Fruits,Himalayan Natives,112,140
7431,Beauty & Hygiene,Skin Care,Soulflower,382.5,450
7432,"Foodgrains, Oil & Masala",Masalas & Spices,Ching'S Secret,44,44
7433,Gourmet & World Food,"Sauces, Spreads & Dips",Abbies,425,425
7434,"Kitchen, Garden & Pets",Crockery & Cutlery,Laopala Diva,315,315
7435,Beauty & Hygiene,Hair Care,Clinic Plus,170.1,189
7436,"Kitchen, Garden & Pets",Storage & Accessories,Ratan,99,99
7437,Beauty & Hygiene,Men's Grooming,Shower To Shower,60,75
7438,Beverages,Energy & Soft Drinks,bb Combo,165,165
7439,Baby Care,Diapers & Wipes,Bodyguard,176.22,198
7440,Snacks & Branded Foods,Frozen Veggies & Snacks,sumeru,49.5,55
7441,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Micks,150,150
7442,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins,1949,2100
7443,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",NuttyFox,150,150
7444,Beauty & Hygiene,Oral Care,Jiva Ayurveda,95,95
