index,category,sub_category,brand,sale_price,market_price
7016,Beauty & Hygiene,Skin Care,Joy,82.5,110
7017,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",bb Combo,57.71,75
7018,Beauty & Hygiene,Hair Care,Continent Spice Khadi,265,265
7019,Gourmet & World Food,Tinned & Processed Food,Entree,123.5,130
7020,Cleaning & Household,Pooja Needs,DP,139,249
7021,Snacks & Branded Foods,Ready To Cook & Eat,MOM,45,45
7022,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Trucrose,85,85
7023,Cleaning & Household,Pooja Needs,GIRI,100,100
7024,Beauty & Hygiene,Hair Care,TRESemme,1285.6,1607
7025,Beauty & Hygiene,Skin Care,Vlcc,117,180
7026,Gourmet & World Food,"Sauces, Spreads & Dips",Habanero,186.15,219
7027,Beauty & Hygiene,Men's Grooming,Park avenue,179.1,199
7028,Beauty & Hygiene,Hair Care,bb Combo,222,249
7029,Beauty & Hygiene,Oral Care,Colgate,108,150
7030,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,47.5,50
7031,Cleaning & Household,All Purpose Cleaners,Big D,249,249
7032,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Emami,193,215
7033,Beauty & Hygiene,Fragrances & Deos,Remy ,265.05,279
7034,Beauty & Hygiene,Skin Care,Ponds,671.04,699
7035,Gourmet & World Food,Drinks & Beverages,Delight Foods,170,170
7036,Gourmet & World Food,"Sauces, Spreads & Dips",Yoga bar,799,799
7037,"Kitchen, Garden & Pets",Appliances & Electricals,Milltec,159,208
7038,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",PRISTINE,67.9,70
7039,Gourmet & World Food,"Sauces, Spreads & Dips",Beelicious ,350,350
7040,Beauty & Hygiene,Hair Care,Loreal Paris,412,550
7041,Beauty & Hygiene,Skin Care,INATUR ,270,450
7042,Beauty & Hygiene,Skin Care,Nivea,288,399
7043,"Kitchen, Garden & Pets",Cookware & Non Stick,Trm,619,1145
7044,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Wai Wai,60,60
7045,Beauty & Hygiene,Men's Grooming,Fogg ,204,255
7046,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,523,800
7047,Baby Care,Diapers & Wipes,Bella,88,88
7048,Cleaning & Household,Pooja Needs,Amrutha,70,70
7049,Beauty & Hygiene,Skin Care,Lakme,284.75,335
7050,Beauty & Hygiene,Oral Care,Pepsodent,65,65
7051,Beauty & Hygiene,Health & Medicine,Bixa Botanical,245,245
7052,Baby Care,Baby Food & Formula,Slurrp Farm,300,300
7053,Beverages,Fruit Juices & Drinks,Tropicana,600,600
7054,"Kitchen, Garden & Pets",Crockery & Cutlery,Claycraft,809,1049
7055,Gourmet & World Food,Cooking & Baking Needs,Nourish You,289,289
7056,"Kitchen, Garden & Pets",Kitchen Accessories,TGL Co.,360,400
7057,Cleaning & Household,Bins & Bathroom Ware,Ratan,99,139
7058,Cleaning & Household,Pooja Needs,Shubhkart,75,80
7059,Gourmet & World Food,Chocolates & Biscuits,Ambriona,212.5,250
7060,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,53,101
7061,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,135,180
7062,Beverages,Tea,Wagh Bakri,90,90
7063,Cleaning & Household,All Purpose Cleaners,Clorox,300,300
7064,"Foodgrains, Oil & Masala",Masalas & Spices,Everest,130,130
7065,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Sundrop,222.69,235
7066,Beauty & Hygiene,Fragrances & Deos,Fogg ,302.99,505
7067,Fruits & Vegetables,Cuts & Sprouts,Fresho,23,28.75
7068,Beauty & Hygiene,Oral Care,Listerine,439.45,530
7069,Beauty & Hygiene,Bath & Hand Wash,Yardley London,89.1,99
7070,"Kitchen, Garden & Pets",Storage & Accessories,Saaj,189,259
7071,Beauty & Hygiene,Men's Grooming,Yardley London,309.78,370
7072,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Rampura,55,55
7073,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,190,190
